Record ID,Department,Metric,Value,Owner,Date
1,Finance,Procurement Expense Overview Metric 1,4927,Alicia Morgan,2026-02-20
2,Finance,Procurement Expense Overview Metric 2,2378,Alicia Morgan,2026-02-20
3,Finance,Procurement Expense Overview Metric 3,153,Alicia Morgan,2026-02-20
4,Finance,Procurement Expense Overview Metric 4,1407,Alicia Morgan,2026-02-20
5,Finance,Procurement Expense Overview Metric 5,3562,Alicia Morgan,2026-02-20
6,Finance,Procurement Expense Overview Metric 6,2887,Alicia Morgan,2026-02-20
7,Finance,Procurement Expense Overview Metric 7,2376,Alicia Morgan,2026-02-20
8,Finance,Procurement Expense Overview Metric 8,1373,Alicia Morgan,2026-02-20
9,Finance,Procurement Expense Overview Metric 9,1863,Alicia Morgan,2026-02-20
10,Finance,Procurement Expense Overview Metric 10,2857,Alicia Morgan,2026-02-20
