Record ID,Department,Metric,Value,Owner,Date
1,Information Technology,Access Review Report Metric 1,1603,Ethan Walker,2026-07-22
2,Information Technology,Access Review Report Metric 2,2381,Ethan Walker,2026-07-22
3,Information Technology,Access Review Report Metric 3,3889,Ethan Walker,2026-07-22
4,Information Technology,Access Review Report Metric 4,2146,Ethan Walker,2026-07-22
5,Information Technology,Access Review Report Metric 5,717,Ethan Walker,2026-07-22
6,Information Technology,Access Review Report Metric 6,3730,Ethan Walker,2026-07-22
7,Information Technology,Access Review Report Metric 7,4608,Ethan Walker,2026-07-22
8,Information Technology,Access Review Report Metric 8,902,Ethan Walker,2026-07-22
9,Information Technology,Access Review Report Metric 9,514,Ethan Walker,2026-07-22
10,Information Technology,Access Review Report Metric 10,4528,Ethan Walker,2026-07-22
