Record ID,Department,Metric,Value,Owner,Date
1,Information Technology,Backup and Recovery Procedure Metric 1,543,Maya Patel,2026-07-18
2,Information Technology,Backup and Recovery Procedure Metric 2,906,Maya Patel,2026-07-18
3,Information Technology,Backup and Recovery Procedure Metric 3,596,Maya Patel,2026-07-18
4,Information Technology,Backup and Recovery Procedure Metric 4,3398,Maya Patel,2026-07-18
5,Information Technology,Backup and Recovery Procedure Metric 5,2879,Maya Patel,2026-07-18
6,Information Technology,Backup and Recovery Procedure Metric 6,995,Maya Patel,2026-07-18
7,Information Technology,Backup and Recovery Procedure Metric 7,2136,Maya Patel,2026-07-18
8,Information Technology,Backup and Recovery Procedure Metric 8,1669,Maya Patel,2026-07-18
9,Information Technology,Backup and Recovery Procedure Metric 9,1658,Maya Patel,2026-07-18
10,Information Technology,Backup and Recovery Procedure Metric 10,4493,Maya Patel,2026-07-18
