Record ID,Department,Metric,Value,Owner,Date
1,Information Technology,Security Awareness Guide Metric 1,1091,Liam Chen,2026-06-24
2,Information Technology,Security Awareness Guide Metric 2,2130,Liam Chen,2026-06-24
3,Information Technology,Security Awareness Guide Metric 3,1940,Liam Chen,2026-06-24
4,Information Technology,Security Awareness Guide Metric 4,624,Liam Chen,2026-06-24
5,Information Technology,Security Awareness Guide Metric 5,2869,Liam Chen,2026-06-24
6,Information Technology,Security Awareness Guide Metric 6,272,Liam Chen,2026-06-24
7,Information Technology,Security Awareness Guide Metric 7,4919,Liam Chen,2026-06-24
8,Information Technology,Security Awareness Guide Metric 8,4637,Liam Chen,2026-06-24
9,Information Technology,Security Awareness Guide Metric 9,1985,Liam Chen,2026-06-24
10,Information Technology,Security Awareness Guide Metric 10,4920,Liam Chen,2026-06-24
